CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProduct,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,Hargrave,619,France,Female,42,2,0,1,1,1,101348.88,1
15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
15699309,Gerasimov,510,Spain,Female,38,4,0,1,1,0,118913.53,1
15589475,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469.38,1
15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15623944,T'ien,511,Spain,Female,66,4,0,1,1,0,1643.11,1
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
15663706,Leonard,777,France,Female,32,2,0,1,1,0,136458.19,1
15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
15622897,Sharpe,646,France,Female,46,4,0,3,1,0,93251.42,1
15757535,Heap,647,Spain,Female,44,5,0,3,1,1,174205.22,1
15804919,Dunbabin,670,Spain,Female,65,1,0,1,1,1,177655.68,1
15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1
15671137,MacDonald,549,France,Female,52,1,0,1,0,1,8636.05,1
15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
15713483,Greeves,793,Spain,Male,52,2,0,1,1,0,159123.82,1
15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
15759618,Alexeeva,535,France,Female,48,9,0,1,1,0,149892.79,1
15679145,Chou,706,Spain,Male,57,7,0,1,1,0,17941.16,1
15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
15574692,Pinto,667,Spain,Female,39,2,0,2,1,0,40721.24,1
15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
15719377,Cocci,804,France,Female,50,4,0,1,1,1,8546.87,1
15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
15600974,He,516,Spain,Male,50,5,0,1,0,1,146145.93,1
15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
15684181,Hackett,643,France,Male,45,5,0,1,1,0,142513.5,1
15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1
15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1
15774854,Fuller,592,France,Male,54,8,0,1,1,1,28737.71,1
15733247,Stevenson,850,France,Male,33,10,0,1,1,0,4861.72,1
15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1
15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1
15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
15794056,Johnston,668,France,Female,46,2,0,3,1,0,89048.46,1
15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1
15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1
15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
15717398,Fielding,549,Spain,Female,39,7,0,1,0,0,81259.25,1
15619955,Bevington,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1
15694456,Toscani,756,France,Male,62,3,0,1,1,1,11199.04,1
15782210,K'ung,714,France,Male,46,1,0,1,1,0,152167.79,1
15643024,Huang,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1
15590241,Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1
15684173,Chang,687,Spain,Female,44,7,0,3,1,0,155853.52,1
15594898,Hewitt,731,France,Male,43,2,0,1,1,1,170034.95,1
15773972,Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49,1
15662736,Doyle,559,France,Male,49,2,147069.78,1,1,0,120540.83,1
15694408,Lung,749,France,Male,40,1,139290.41,1,1,0,182855.42,1
15736008,Hunter,644,France,Female,46,9,95441.27,1,1,0,108761.05,1
15728669,Knowles,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1
15697441,Hsueh,485,France,Male,29,7,182123.79,1,1,0,116828.51,1
15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
15807923,Young,716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1
15745844,Kerr,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1
15661629,Ricci,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1
15696674,Robinson,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
15583456,Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1
15629677,Distefano,687,Spain,Female,39,2,0,3,0,0,188150.6,1
15573456,Cunningham,648,Spain,Male,46,9,127209,2,1,0,77405.95,1
15684548,Demidov,556,Spain,Male,38,8,0,2,0,0,417.41,1
15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51,1
15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
15801559,Chiang,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1
15720559,Heath,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1
15810418,T'ang,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1
15674551,Fitch,535,Germany,Male,40,7,111756.5,1,1,0,8128.32,1
15806467,Boyle,568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1
15597602,Nwachinemelu,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1
15595039,Manna,545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1
15787470,Parkinson,553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1
15694860,Uspensky,675,France,Female,38,6,68065.8,1,0,0,138777,1
15707362,Yin,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
15773792,Evans,662,France,Female,32,4,133950.37,1,1,1,48725.68,1
15593782,Brookes,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1
15683625,Hare,703,France,Male,37,1,149762.08,1,1,0,20629.4,1
15591986,Johnston,621,Germany,Male,46,6,141078.37,1,0,0,34580.8,1
15676519,George,615,Spain,Male,61,9,0,2,1,0,150227.85,1
15613772,Dalrymple,542,France,Male,39,3,135096.77,1,1,1,14353.43,1
15725679,Hsia,531,France,Female,47,6,0,1,0,0,194998.34,1
15585865,Westerberg,673,France,Female,38,2,170061.92,2,0,0,134901.34,1
15677020,Selezneva,570,France,Female,58,8,0,1,0,1,116503.92,1
15714485,Udinese,774,France,Male,60,5,85891.55,1,1,0,74135.48,1
15682048,Pisano,605,France,Female,51,3,136188.78,1,1,1,67110.59,1
